id,nombre,rubro,marca,proveedor,precio
144,POLLO CONGELADO SIN MENUDOS - 1 KG,CARNES,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),18.5
145,POLLO ENTERO FRESCO-CONGELADO CON MENUDOS - 1 KG,CARNES,TODAS LAS MARCAS,CENTRO DE EMPRESAS DE PROCESADORAS AVÍCOLAS,18.5
146,POLVO DE LAVADO  GRANBY LAVADO TOTAL - 800 GR,LIMPIEZA,GRANBY,UNILEVER,13
147,POROTOS EN LATA - 350 GR,ALMACÉN,ARCOR,ARCOR,6.8
148,POSTRE NIÑO CHOCOLATE - 120 GR,LÁCTEOS,SHIMY,SANCOR,5.3
149,POSTRE NIÑO CHOCOLATE Y DULCE DE LECHE - 120 GR,LÁCTEOS,SHIMY,SANCOR,5.3
150,POSTRE NIÑO DULCE DE LECHE - 120 GR,LÁCTEOS,SHIMY,SANCOR,5.3
151,POSTRE NIÑO VAINILLA - 161 GR,LÁCTEOS,DANONINO,DANONE,7.95
152,POSTRE NIÑO VAINILLA - 120 GR,LÁCTEOS,SHIMY,SANCOR,5.3
153,POSTRE NIÑO VAINILLA Y DULCE DE LECHE - 120 GR,LÁCTEOS,SHIMY,SANCOR,5.3
154,PRESERVATIVOS SUPER FINOS 6 UNIDADES - 1 UN,PERFUMERÍA,PRIME,BUHLSA,27.45
155,PRESERVATIVOS SUPER FINOS 6 UNIDADES - 1 UN,PERFUMERÍA,TULIPAN,KOPELCO,23.8
156,PURE DE TOMATE EN LATA - 520 GR,ALMACÉN,ALCO,ALCO  CANALE ,5.3
157,PURE DE TOMATE EN LATA - 520 GR,ALMACÉN,ARCOR,ARCOR,4.54
158,QUESO CREMA ENTERO  - 300 GR,LÁCTEOS,MENDICRIM,SANCOR,17
159,QUESO CREMOSO  - 1 KG,LÁCTEOS,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),47
160,QUESO RALLADO PAQUETE - 120 GR,LÁCTEOS,TREGAR,GARCÍA HNOS. AGROINDUSTRIAL,15.99
161,QUESO RALLADO PAQUETE - 120 GR,LÁCTEOS,LA SERENÍSIMA,MASTELLONE,18.5
162,REPUESTO DE HOJAS TRADICIONAL CUADRICULADO - 96 HOJAS,LIBRERIA,GLORIA,LEDESMA,13.5
163,REPUESTO DE HOJAS TRADICIONAL RAYADO - 96 HOJAS,LIBRERIA,GLORIA,LEDESMA,13.5
164,ROAST BEEF  - 1 KG,CARNES,SIN MARCA (SUPERMERCADO),SIN MARCA (SUPERMERCADO),40
165,SAL FINA ESTUCHE - 500 GR,ALMACÉN,CELUSAL,INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,5
166,SAL FINA PAQUETE DE PAPEL - 500 GR,ALMACÉN,DOS ANCLAS,CIA.INTRODUCTORA BS.AS.,4.25
167,SAL GRUESA PAQUETE DE PAPEL - 1 KG,ALMACÉN,DOS ANCLAS,CIA.INTRODUCTORA BS.AS.,5.7
168,SAL GRUESA PAQUETE DE PAPEL - 1 KG,ALMACÉN,CELUSAL,INDUSTRIAS QUIMICAS Y MINERAS TIMBO S.A.,5.45
169,SALCHICHAS TIPO VIENA CON PIEL  - 6 UN,CARNES,SWIFT,JBS,9.7
